Ime,Atribut,Level_Rank,Tip,ATK,DEF
Ally of Justice Light Gazer,DARK,8,Machine,2400,1600
Ally of Justice Thunder Armor,DARK,8,Machine,2700,2200
"Alsei, the Sylvan High Protector",LIGHT,8,Plant,2300,3200
"Amorphactor Pain, the Imagination Dracoverlord",EARTH,8,Dragon,2950,2500
Amorphage Goliath,EARTH,8,Dragon,2750,0
Amulet Dragon,DARK,8,Dragon,2900,2500
Ancient Gear Gadjiltron Dragon,EARTH,8,Machine,3000,2000
Ancient Gear Golem,EARTH,8,Machine,3000,3000
Ancient Gear Howitzer,EARTH,8,Machine,1000,1800
Angel of Zera,LIGHT,8,Fairy,2800,2300
Arcana Force XXI - The World,LIGHT,8,Fairy,3100,3100
"Archfiend Emperor, the First Lord of Horror",DARK,8,Fiend,3000,2000
Archfiend Empress,DARK,8,Fiend,2900,2100
Archlord Kristya,LIGHT,8,Fairy,2800,2300
Archlord Zerato,LIGHT,8,Fairy,2800,2300
Armament of the Lethal Lords,DARK,8,Warrior,2500,2500
Armed Protector Dragon,LIGHT,8,Dragon,2000,2800
Armoroid,EARTH,8,Machine,2700,2000
Avenging Knight Parshath,LIGHT,8,Fairy,2600,2100
B.E.S. Big Core MK-3,LIGHT,8,Machine,2700,1900
Batteryman Industrial Strength,LIGHT,8,Thunder,2600,0
Battleguard King,EARTH,8,Warrior,3000,1100
"Baxia, Brightness of the Yang Zing",LIGHT,8,Wyrm,2300,2600
Beast King Barbaros,EARTH,8,Beast-Warrior,3000,1200
Beast Machine King Barbaros &Uuml;r,EARTH,8,Beast-Warrior,3800,1200
Beast-Eyes Pendulum Dragon,EARTH,8,Dragon,3000,2000
Beelze of the Diabolic Dragons,DARK,8,Dragon,3000,3000
Belial - Marquis of Darkness,DARK,8,Fiend,2800,2400
Berserk Dragon,DARK,8,Zombie,3500,0
Berserkion the Electromagna Warrior,EARTH,8,Rock,3000,2800
Bird of Paradise Lost,DARK,8,Wyrm,2700,1500
Black Brutdrago,FIRE,8,Dragon,3000,2600
Black Luster Soldier,EARTH,8,Warrior,3000,2500
Black Luster Soldier - Envoy of the Beginning,LIGHT,8,Warrior,3000,2500
Black Luster Soldier - Envoy of the Evening Twilight,DARK,8,Warrior,3000,2500
Black Luster Soldier - Sacred Soldier,LIGHT,8,Warrior,3000,2500
Black Luster Soldier - Super Soldier,EARTH,8,Warrior,3000,2500
Black-Winged Dragon,DARK,8,Dragon,2800,1600
Blackfeather Darkrage Dragon,DARK,8,Dragon,2800,1600
Blackwing - Silverwind the Ascendant,DARK,8,Winged Beast,2800,2000
"Blaze Fenix, the Burning Bombardment Bird",FIRE,8,Pyro,2800,2300
Blizzard Princess,WATER,8,Spellcaster,2800,2100
Block Dragon,EARTH,8,Rock,2500,3000
Blood Mefist,DARK,8,Fiend,2800,1300
Blue-Eyes Alternative White Dragon,LIGHT,8,Dragon,3000,2500
Blue-Eyes Chaos MAX Dragon,DARK,8,Dragon,4000,0
Blue-Eyes Toon Dragon,LIGHT,8,Dragon,3000,2500
Blue-Eyes White Dragon,LIGHT,8,Dragon,3000,2500
Bonfire Colossus,FIRE,8,Beast-Warrior,2600,2200
Brave-Eyes Pendulum Dragon,DARK,8,Dragon,3000,2000
Brotherhood of the Fire Fist - Kirin,FIRE,8,Beast-Warrior,2000,2800
"Buster Blader, the Dragon Destroyer Swordsman",LIGHT,8,Warrior,2800,2500
Buster Dragon,DARK,8,Dragon,1200,2800
Caius the Mega Monarch,DARK,8,Fiend,2800,1000
Chaos Emperor Dragon - Envoy of the End,DARK,8,Dragon,3000,2500
Chaos Goddess,LIGHT,8,Fairy,2500,1800
Chevalier de Fleur,WIND,8,Warrior,2700,2300
Chimeratech Fortress Dragon,DARK,8,Machine,0,0
"Chirubim&eacute;, Princess of Autumn Leaves",EARTH,8,Plant,1800,2800
Clear Vice Dragon,DARK,8,Dragon,0,0
Cloudian - Eye of the Typhoon,WIND,8,Aqua,3000,1000
Coach Captain Bearman,FIRE,8,Beast-Warrior,2600,2700
Coach King Giantrainer,FIRE,8,Warrior,2800,2000
Colossal Fighter,DARK,8,Warrior,2800,1000
Cosmo Queen,DARK,8,Spellcaster,2900,2450
Crab Turtle,WATER,8,Aqua,2550,2500
Crimson Blader,FIRE,8,Warrior,2800,2600
Crystal Wing Synchro Dragon,WIND,8,Dragon,3000,2500
Cyber Angel Dakini,LIGHT,8,Fairy,2700,2400
Cyber Twin Dragon,LIGHT,8,Machine,2800,2100
Cyberdark Dragon,DARK,8,Machine,1000,1000
D.3.S. Frog,WATER,8,Aqua,2500,2000
D/D Savant Thomas,DARK,8,Fiend,1800,2600
D/D/D Cursed King Siegfried,DARK,8,Fiend,2800,2200
D/D/D Doom King Armageddon,DARK,8,Fiend,3000,1000
D/D/D Dragonbane King Beowulf,DARK,8,Fiend,3000,2500
D/D/D Duo-Dawn King Kali Yuga,DARK,8,Fiend,3500,3000
D/D/D Oblivion King Abyss Ragnarok,DARK,8,Fiend,2200,3000
D/D/D Super Doom King Dark Armageddon,DARK,8,Fiend,3500,3000
Dark End Dragon,DARK,8,Dragon,2600,2100
Dark Flattop,DARK,8,Machine,0,3000
Dark Horus,DARK,8,Dragon,3000,1800
Dark Lucius LV8,EARTH,8,Fiend,2800,900
Dark Magician of Chaos,DARK,8,Spellcaster,2800,2600
Dark Master - Zorc,DARK,8,Fiend,2700,1500
Dark Necrofear,DARK,8,Fiend,2200,2800
Dark Nephthys,DARK,8,Winged Beast,2400,1600
Dark Paladin,DARK,8,Spellcaster,2900,2400
Dark Voltanis,DARK,8,Fairy,2800,1400
Darklord Asmodeus,DARK,8,Fairy,3000,2500
Darklord Superbia,DARK,8,Fairy,2900,2400
Darklord Zerato,DARK,8,Fairy,2800,2300
Darkstorm Dragon,DARK,8,Dragon,2700,2500
"Demise, King of Armageddon",DARK,8,Fiend,2400,2000
Deskbot 008,EARTH,8,Machine,500,500
Despair from the Dark,DARK,8,Zombie,2800,3000
Destiny HERO - Dogma,DARK,8,Warrior,3400,2400
Destiny HERO - Dreadmaster,DARK,8,Warrior,0,0
Destiny HERO - Dystopia,DARK,8,Warrior,2800,2400
Destiny HERO - Plasma,DARK,8,Warrior,1900,600
"Dinoster Power, the Mighty Dracoslayer",WATER,8,Dragon,2000,2950
Divine Dragon Knight Felgrand,LIGHT,8,Warrior,2800,1800
Divine Dragon Lord Felgrand,LIGHT,8,Dragon,2800,2800
Dododo Swordsman,EARTH,8,Warrior,0,3000
"Dogoran, the Mad Flame Kaiju",FIRE,8,Dinosaur,3000,1200
Doom Dozer,EARTH,8,Insect,2800,2600
Doomkaiser Dragon/Assault Mode,FIRE,8,Zombie,2900,2000
Dragon Core Hexer,DARK,8,Dragon,2300,3000
Dragon Spirit of White,LIGHT,8,Dragon,2500,2000
Dragonecro Nethersoul Dragon,DARK,8,Dragon,3000,0
Dragunity Arma Leyvaten,WIND,8,Dragon,2600,1200
Dragunity Knight - Barcha,WIND,8,Dragon,2000,1200
Dreadscythe Harvester,WIND,8,Insect,2300,1600
Ehther the Heavenly Monarch,LIGHT,8,Fairy,2800,1000
El Shaddoll Construct,LIGHT,8,Fairy,2800,2500
Elemental HERO Absolute Zero,WATER,8,Warrior,2500,2000
Elemental HERO Escuridao,DARK,8,Warrior,2500,2000
Elemental HERO Great Tornado,WIND,8,Warrior,2800,2200
Elemental HERO Inferno,FIRE,8,Pyro,2300,1600
Elemental HERO Marine Neos,WATER,8,Warrior,2800,2300
Elemental HERO Nova Master,FIRE,8,Warrior,2600,2100
Elemental HERO Plasma Vice,EARTH,8,Warrior,2600,2300
Elemental HERO Shining Flare Wingman,LIGHT,8,Warrior,2500,2100
Elemental HERO Shining Phoenix Enforcer,FIRE,8,Warrior,2500,2100
Elemental HERO Tempest,WIND,8,Warrior,2800,2800
Elemental HERO Terra Firma,EARTH,8,Warrior,2500,2000
Elemental HERO The Shining,LIGHT,8,Warrior,2600,2100
Elemental HERO Wild Wingman,EARTH,8,Warrior,1900,2300
Elemental HERO Wildedge,EARTH,8,Warrior,2600,2300
Emperor of Lightning,LIGHT,8,Thunder,2600,2600
Enlightenment Paladin,DARK,8,Spellcaster,2500,2000
Erebus the Underworld Monarch,DARK,8,Zombie,2800,1000
Evigishki Levianima,WATER,8,Aqua,2700,1500
Evigishki Soul Ogre,WATER,8,Aqua,2800,2800
Evil Dragon Ananta,DARK,8,Reptile,0,0
Evil HERO Dark Gaia,EARTH,8,Fiend,0,0
Evil HERO Malicious Fiend,FIRE,8,Fiend,3500,2100
Evil HERO Wild Cyclone,EARTH,8,Fiend,1900,2300
"Exxod, Master of The Guard",EARTH,8,Rock,0,4000
Fabled Dianaira,LIGHT,8,Fiend,2800,100
Fabled Valkyrus,LIGHT,8,Fiend,2900,1700
Felgrand Dragon,LIGHT,8,Dragon,2800,2800
Fiendish Engine &Omega;,DARK,8,Machine,2800,2000
Fire King High Avatar Garunix,FIRE,8,Winged Beast,2700,1700
Flower Cardian Lightshower,DARK,8,Warrior,3000,3000
Flower Cardian Zebra Grass,DARK,8,Warrior,100,100
Flower Cardian Zebra Grass with Moon,DARK,8,Warrior,2000,2000
Flying Fortress SKY FIRE,WIND,8,Machine,3000,2500
Frightfur Chimera,DARK,8,Fiend,2800,2000
Frightfur Daredevil,DARK,8,Fiend,3000,2200
Frightfur Kraken,WATER,8,Fiend,2200,3000
Frightfur Sabre-Tooth,DARK,8,Fiend,2400,2000
"Gadarla, the Mystery Dust Kaiju",WIND,8,Insect,2700,1600
Gaia Plate the Earth Giant,EARTH,8,Rock,2800,1000
Galaxy Knight,LIGHT,8,Warrior,2800,2600
Galaxy Tyranno,LIGHT,8,Dinosaur,2000,0
Galaxy-Eyes Cipher Dragon,LIGHT,8,Dragon,3000,2500
Galaxy-Eyes Full Armor Photon Dragon,LIGHT,8,Dragon,4000,3500
